title,artist,style,genre,year,description
Starry Night,Vincent van Gogh,Post-Impressionism,Landscape,1889,A swirling night sky over a quiet town with stars and a bright moon.
The Persistence of Memory,Salvador Dalí,Surrealism,Allegorical Painting,1931,Melting clocks in a barren dream-like landscape.
Mona Lisa,Leonardo da Vinci,High Renaissance,Portrait,1503,A portrait of a woman with an enigmatic smile.
The Scream,Edvard Munch,Expressionism,Figure Painting,1893,A figure screaming under a blood-red sky.
Guernica,Pablo Picasso,Cubism,History Painting,1937,A chaotic mural depicting the tragedies of war.
Water Lilies,Claude Monet,Impressionism,Landscape,1916,A serene painting of water lilies floating in a pond.
Composition VII,Wassily Kandinsky,Abstract Art,Abstract,1913,A bold explosion of color and motion with no clear subject.
The Kiss,Gustav Klimt,Symbolism,Portrait,1908,A golden embrace of two lovers in a decorative field.
American Gothic,Grant Wood,Regionalism,Portrait,1930,A farmer and his daughter posed in front of a farmhouse.
The Night Watch,Rembrandt van Rijn,Baroque,Group Portrait,1642,A militia company setting out led by Captain Frans Banning Cocq.
The Crystal Jungle,Fiona Ghost,Neo-Fantasy,Abstract,2023,A mythic forest of mirrors in neon light.